path,sizeBytes,sha256,extension,lineCount,category,packageAction,decisionReason
#Uc0ac#Uc6a9#Uc790#Uc9c0#Uc2dc#Ub0b4#Uc6a9.txt,9922,258841bf395123cf42dd908a81db9e1e7a846e303b89829fbc972dcc37b79e68,.txt,93,OTHER_PROJECT_FILE,REVIEWED_EXCLUDE_OR_REPLACED,Accounted for in audit and omitted unless required by the new marketplace plugin.
#Ud558#Ub124#Uc2a4 #Ud1b5#Ud569 #Ud14c#Uc2a4#Ud2b8#U00b7#Uc6b4#Uc601 #Uc808#Ub300 #Uc6d0#Uce59.txt,10683,b886a600e5a61a6cb45222c5ee1a3d0a567224d00ac144b8e2f2a348c1b3a94b,.txt,69,OTHER_PROJECT_FILE,REVIEWED_EXCLUDE_OR_REPLACED,Accounted for in audit and omitted unless required by the new marketplace plugin.
#Ud654#Uba74 #Ucea1#Ucc98 2026-07-09 151812.png,262176,69ff2d18a164466dc3a3ecdc966664da4e53348971ee86697d5fcf80267d98f8,.png,1632,LEGACY_IMAGE,EXCLUDE,Legacy screenshots/diagrams are not required for plugin runtime and may contain project-specific material.
.agents/skills/gpt-tasteskill/SKILL.md,7857,2e64c269953f2656c21bf5a0fa6b4568e82fe0c72b36e8f84758e090349966a5,.md,74,LEGACY_DESIGN_SKILL,REPLACE,"Fixed fonts, layouts, images, or style rules are replaced with project-specific research and every-page design evidence."
.agents/skills/taste-skill/SKILL.md,87253,aa194351b246b8b4799099d4ed7b033d29eab6e6e3d58d8d2172978be7b3ec89,.md,1206,LEGACY_DESIGN_SKILL,REPLACE,"Fixed fonts, layouts, images, or style rules are replaced with project-specific research and every-page design evidence."
.logs/server-3847.err.log,151,23b127d14ad85d555e5fcd113716d571f33c95a2577f406b0950b37fd69cba95,.log,1,GENERATED_OUTPUT,EXCLUDE,"Generated outputs, experiments, and logs are not source."
.logs/server-3847.out.log,916,762929c59f3da303b1281aeab17df34a6fcd2a22d988fc66b09af6c5fd7a0015,.log,9,GENERATED_OUTPUT,EXCLUDE,"Generated outputs, experiments, and logs are not source."
.playwright-cli/chrome-popup-check/Crashpad/metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Crashpad/settings.dat,40,e990d4419764f7bcd918403be61decc09611b88ee5f7d94bf08fd7e5cc330b5c,.dat,2,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/CrashpadMetrics-active.pma,1048576,feababdf8dc0aad62f814941c8bf677dc36679a26b49d7ee096a7fecf1681aac,.pma,3,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/Account Web Data,77824,b671fc77f2eab823e977a4d842eaa80acefcc4a7fc205a76766a96f5196e65a8,,46,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/Account Web Data-journal,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/Affiliation Database,53248,687908afd0adf027324f343db40bdaceefe64afec45a24f08286b91f2d1bb181,,21,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/Affiliation Database-journal,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/AutofillAiModelCache/LOCK,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/AutofillAiModelCache/LOG,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/AutofillStrikeDatabase/LOCK,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/AutofillStrikeDatabase/LOG,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/BookmarkMergedSurfaceOrdering,6,4489f9e3e454748b3521eb214e0a5694d562cff3d9ff511cb456953c8f534c00,,2,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/BrowsingTopicsSiteData,28672,71a956cf71030a295cc2e0ee4694be069de8739d39150dee5ce685eff32f75b7,,10,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/BrowsingTopicsSiteData-journal,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/BrowsingTopicsState,414,35ffc354096332fd7fc24bc6069e1c554c750d720e8a5f8d96d3bada636d4ce9,,12,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/BudgetDatabase/LOCK,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/BudgetDatabase/LOG,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,0,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/Cache/Cache_Data/data_0,45056,79d64aca2c19ddb7e8fb5b09c3f01afe625cd16289075786f24341a6a314b6ca,,10,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
.playwright-cli/chrome-popup-check/Default/Cache/Cache_Data/data_1,270336,a86d5308f1427572a3d41a0ed542633b4f3dbd72ec2ba96d2cb95eaddbff1108,,27,BROWSER_PROFILE,EXCLUDE_SENSITIVE,"Machine-specific browser cache/profile may contain cookies, login state, history, databases, or device identifiers."
