path,sizeBytes,sha256,extension,mime,lineCount,category,packageAction,reason
.agents/plugins/marketplace.json,415,04339e0bd3391626fd4a8ebe0a340564cdab412d00ff28a698bc25fb9b04c396,.json,application/json,21,core-source,mapped-or-replaced,Core behavior must be mapped into implementation and evidence ledgers.
.gitattributes,158,53ab4b66949a6ecb217f56c35297f1f6f32d290cb73522923c545e107cd474f0,,application/octet-stream,,project-file,review,Accounted for in the complete inventory.
.github/workflows/kh-aw-ci.yml,7513,90c73f87ea6224b805f95965be2ae2ed27cd0456e370cb8562e5ee393801d5d8,.yml,application/octet-stream,113,project-file,review,Accounted for in the complete inventory.
.gitignore,197,6a52eaafa21c833c4d3068e0000dac40e0ad91f0279871477ccfc2bec9f51888,,application/octet-stream,,project-file,review,Accounted for in the complete inventory.
audit/CORE_FILE_BY_FILE_REPORT.md,33320,32668715ca3234d2b5e8d213be452d9f05df73a2fbc1da071bdb812b9ffd749b,.md,text/markdown,624,project-file,review,Accounted for in the complete inventory.
audit/CORE_SOURCE_AUDIT.json,38116,b8fed4ba297db27495ede54d6826e2d77cec5d95d9cbf176b637deb0ded07879,.json,application/json,1230,project-file,review,Accounted for in the complete inventory.
audit/FULL_INVENTORY_REPORT.md,2201,a4ff2e12b5bca57264e665091c0913d4b9709afe4c0223cace386cb22ab5a1c5,.md,text/markdown,67,project-file,review,Accounted for in the complete inventory.
audit/LOGIC_DEEP_RESEARCH_REPORT.md,8188,8109cee6cc5b34b9fb960cc20ffa9d109b3d944ee8c52cf6ba9cd02ddc6d4dcf,.md,text/markdown,86,project-file,review,Accounted for in the complete inventory.
audit/ORIGINAL_FILE_INVENTORY.csv,681356,7c4a5b3ca5712e089eb1db5da5d0f040ce551651cd24c49466791112c7da8609,.csv,application/vnd.ms-excel,,project-file,review,Accounted for in the complete inventory.
audit/ORIGINAL_FILE_INVENTORY.jsonl,991264,78f59cca5e34a026903bbd68e87bf596eee16d2180ab6bd9f8ccd1a12ec00ad2,.jsonl,application/octet-stream,2519,project-file,review,Accounted for in the complete inventory.
audit/ORIGINAL_INVENTORY_SUMMARY.json,2823,6cc00bf0c088974a93c4857ebfc923a5bc376746e810c21fdcdc476444ff8646,.json,application/json,108,project-file,review,Accounted for in the complete inventory.
audit/REQUIREMENTS_TRACEABILITY.md,4668,324fcd26f1bd79dbb5e08fa24da6606de1b13a09de22e6be0d8891b4883ae36e,.md,text/markdown,34,project-file,review,Accounted for in the complete inventory.
audit/SCORE_REPORT.md,3325,43a9c7a6626f8318dcb852679d14b370a167779febd28c3cab4c272438c9e322,.md,text/markdown,44,project-file,review,Accounted for in the complete inventory.
audit/UPGRADE_MAPPING.md,2435,2e7c4d35b14fe91ce3734f3743a05ad22415ce5b6785e7426c9b06c55f7a7a2f,.md,text/markdown,23,project-file,review,Accounted for in the complete inventory.
COMPLETION_CRITERIA_LEDGER.md,3574,fb5efc72fbe3c2ae09a999ad1311fcb71c427e7abec4338e82e7ede4366a06c2,.md,text/markdown,46,project-file,review,Accounted for in the complete inventory.
design/NEW_ARCHITECTURE.md,2605,af055788dd990312f66cd94a8c60254d1f823a4aea939cff6b96b31084d434f5,.md,text/markdown,52,project-file,review,Accounted for in the complete inventory.
docs/BEGINNER_GUIDE_KO.md,1469,6b5bebe26fb087cbcba397d4472d9457e42286539593787301b5f26c93345816,.md,text/markdown,49,project-file,review,Accounted for in the complete inventory.
docs/INSTALL_UPDATE_REMOVE_KO.md,1223,38f5aa6ae5bf02aa9c21653cba2e1a252f812f0bf7302b8101582fe5b9578820,.md,text/markdown,28,project-file,review,Accounted for in the complete inventory.
docs/TROUBLESHOOTING_KO.md,1367,0977b9fa7e3c7880631663120ee29d2e410904212cc8d34e930c6e82cce37c06,.md,text/markdown,32,project-file,review,Accounted for in the complete inventory.
FINAL_BUILD_NOTICE.md,786,2989802722579e7c5ebfc5dbbbd51d4cc7b3285daf2985b1d4f2d4c68c960ba8,.md,text/markdown,19,project-file,review,Accounted for in the complete inventory.
