id,source,files,skills,scripts,hooks,agents,tests,primary_pattern
official-figma,official,113,12,10,yes,yes,unknown,skills+references+hooks+mcp
official-notion,official,88,4,0,no,yes,unknown,skills+mcp+app
official-build-ios-apps,official,76,9,9,no,yes,unknown,skills+scripts+references
official-build-macos-apps,official,42,11,0,no,yes,unknown,skills+references
official-build-web-apps,official,138,6,0,no,no,unknown,skills+large-reference-library
official-expo,official,67,13,3,no,no,unknown,skills+scripts+references
official-netlify,official,74,12,0,no,no,unknown,skills+app
official-remotion,official,45,1,0,no,no,unknown,single-skill+references
official-github,official,28,4,2,no,no,unknown,skills+scripts+mcp+app
official-codex-security,official,86,12,21,no,no,unknown,skills+scripts+references
community-a-team,community,181,20,10,yes,26,42,agents+commands+tests
community-tailtest,community,46,1,1,yes,0,7,single-skill+hook-testing
community-bringyour-mcp,community,26,1,0,no,2,0,single-skill+mcp-agents
community-codetruss,community,31,3,3,no,3,0,skills+scripts+agents
community-process-jobs,community,88,5,17,yes,5,17,skills+scripts+hooks+tests
kh-aw-before,local,91,6,4,no,dynamic,53,multiple-overlapping-entrypoints
kh-aw-redesign,local,pending,1,4,no,dynamic,pending,single-entrypoint+versioned-runtime+evidence-engine
